candidate_id,term_id,source_lang,target_lang,source_term,current_target_term,domain,priority,status,current_alias,current_note,problem_type,evidence_source,frequency,suggested_action,suggested_target_term,suggested_alias,suggested_priority,suggested_status,suggested_note,tcr_scope,acceptance_scope,owner,decision_status
TBV03-0001,en_0001,en,zh,vehicle,车辆,general,high,active,,汽车法规通用术语,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0002,en_0002,en,zh,motor vehicle,机动车,general,high,active,,道路车辆法规常见术语,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0003,en_0003,en,zh,type approval,型式认证,certification,high,active,,认证法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0004,en_0004,en,zh,approval authority,认证主管机构,certification,high,active,,法规主管机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0005,en_0005,en,zh,technical service,技术服务机构,certification,high,active,,认证测试机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0006,en_0006,en,zh,manufacturer,制造商,general,high,active,,法规责任主体,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0007,en_0007,en,zh,component,零部件,general,medium,active,,汽车零部件,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0008,en_0008,en,zh,separate technical unit,独立技术单元,certification,high,active,,欧盟法规常见术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0009,en_0009,en,zh,braking system,制动系统,braking,high,active,,制动法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0010,en_0010,en,zh,service braking system,行车制动系统,braking,high,active,,制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0011,en_0011,en,zh,parking braking system,驻车制动系统,braking,high,active,,制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0012,en_0012,en,zh,anti-lock braking system,防抱死制动系统,braking,high,active,,ABS相关术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0013,en_0013,en,zh,steering system,转向系统,steering,high,active,,转向法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0014,en_0014,en,zh,lighting device,照明装置,lighting,high,active,,灯光法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0015,en_0015,en,zh,headlamp,前照灯,lighting,high,active,,灯光术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0016,en_0019,en,zh,emission,排放,emission,high,active,,排放法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0017,en_0020,en,zh,exhaust emission,排气排放,emission,high,active,,排放法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0018,en_0022,en,zh,test procedure,试验程序,test,high,active,,测试法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0019,en_0023,en,zh,test method,试验方法,test,high,active,,标准法规常见表述,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0020,en_0024,en,zh,requirement,要求,general,medium,active,,法规要求,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0021,en_0025,en,zh,shall,应,modal,high,active,,法规义务词,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0022,en_0026,en,zh,shall not,不得,modal,high,active,,禁止性义务词,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0023,en_0027,en,zh,must,必须,modal,high,active,,强制性义务词,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0024,en_0028,en,zh,may,可,modal,medium,active,,许可性情态词,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0025,en_0029,en,zh,should,宜,modal,medium,active,,推荐性情态词,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0026,en_0030,en,zh,compliance,符合性,compliance,high,active,,合规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0027,en_0031,en,zh,conformity of production,生产一致性,compliance,high,active,,COP术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0028,en_0035,en,zh,standard,标准,general,high,active,,标准法规术语,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0029,en_0036,en,zh,regulation,法规,general,high,active,,法规术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0030,en_0037,en,zh,annex,附件,document,medium,active,,法规文档结构,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0031,en_0038,en,zh,appendix,附录,document,medium,active,,法规文档结构,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0032,en_0039,en,zh,paragraph,段落,document,medium,active,,法规文档结构,broad term,termbase_v0.2_static_scan,,downgrade priority / exclude from core high terms / mark review,,,low,review,Broad or structural term; exclude from external core high term acceptance.,,,杨杰康,candidate
TBV03-0033,ru_0001,ru,zh,транспортное средство,车辆,general,high,active,,俄语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0034,ru_0002,ru,zh,автомобиль,汽车,general,high,active,,俄语汽车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0035,ru_0003,ru,zh,изготовитель,制造商,general,high,active,,俄语责任主体,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0036,ru_0004,ru,zh,тормозная система,制动系统,braking,high,active,,俄语制动术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0037,ru_0005,ru,zh,система отопления,供暖系统,hvac,high,active,,俄语暖通术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0038,ru_0007,ru,zh,кондиционирование воздуха,空气调节,hvac,high,active,,俄语空调术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0039,ru_0009,ru,zh,испытание,试验,test,high,active,,俄语试验术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0040,ru_0010,ru,zh,требование,要求,general,medium,active,,俄语法规要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0041,de_0001,de,zh,Fahrzeug,车辆,general,high,active,,德语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0042,de_0002,de,zh,Kraftfahrzeug,机动车,general,high,active,,德语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0043,de_0003,de,zh,Hersteller,制造商,general,high,active,,德语责任主体,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0044,de_0004,de,zh,Genehmigungsbehörde,认证主管机构,certification,high,active,,德语认证机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0045,de_0005,de,zh,Bremsanlage,制动系统,braking,high,active,,德语制动术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0046,de_0006,de,zh,Sicherheitsglas,安全玻璃,body,high,active,,德语安全玻璃,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0047,de_0007,de,zh,Beleuchtungseinrichtung,照明装置,lighting,high,active,,德语灯光术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0048,de_0008,de,zh,Prüfung,试验,test,high,active,,德语试验术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0049,de_0009,de,zh,Anforderung,要求,general,medium,active,,德语法规要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0050,de_0010,de,zh,Anlage,附件,document,medium,active,,德语法规附件,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0051,fr_0001,fr,zh,véhicule,车辆,general,high,active,,法语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0052,fr_0002,fr,zh,véhicule à moteur,机动车,general,high,active,,法语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0053,fr_0003,fr,zh,constructeur,制造商,general,high,active,,法语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0054,fr_0004,fr,zh,autorité compétente,主管机构,certification,high,active,,法语主管机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0055,fr_0005,fr,zh,système de freinage,制动系统,braking,high,active,,法语制动术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
