candidate_id,term_id,source_lang,source_term,target_term,current_alias,suggested_alias,reason,evidence_source,decision_status
ALIAS-0001,en_0003,en,type approval,型式认证,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0002,en_0004,en,approval authority,认证主管机构,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0003,en_0005,en,technical service,技术服务机构,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0004,en_0006,en,manufacturer,制造商,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0005,en_0008,en,separate technical unit,独立技术单元,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0006,en_0009,en,braking system,制动系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0007,en_0010,en,service braking system,行车制动系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0008,en_0011,en,parking braking system,驻车制动系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0009,en_0012,en,anti-lock braking system,防抱死制动系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0010,en_0013,en,steering system,转向系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0011,en_0014,en,lighting device,照明装置,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0012,en_0015,en,headlamp,前照灯,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0013,en_0019,en,emission,排放,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0014,en_0020,en,exhaust emission,排气排放,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0015,en_0022,en,test procedure,试验程序,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0016,en_0023,en,test method,试验方法,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0017,en_0026,en,shall not,不得,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0018,en_0030,en,compliance,符合性,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0019,en_0031,en,conformity of production,生产一致性,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0020,en_0036,en,regulation,法规,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0021,ru_0002,ru,автомобиль,汽车,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0022,ru_0003,ru,изготовитель,制造商,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0023,ru_0004,ru,тормозная система,制动系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0024,ru_0005,ru,система отопления,供暖系统,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0025,ru_0007,ru,кондиционирование воздуха,空气调节,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0026,ru_0009,ru,испытание,试验,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
ALIAS-0027,de_0002,de,Kraftfahrzeug,机动车,,,check injection / add alias / adjust prompt strategy,termbase_v0.2_static_scan,candidate
