candidate_id,term_id,source_lang,source_term,current_target_term,suggested_target_term,problem_type,reason,evidence_source,decision_status
BADTARGET-0001,ru_0001,ru,транспортное средство,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0002,ru_0010,ru,требование,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0003,de_0001,de,Fahrzeug,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0004,de_0009,de,Anforderung,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0005,de_0010,de,Anlage,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0006,fr_0001,fr,véhicule,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0007,fr_0009,fr,exigence,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0008,fr_0010,fr,annexe,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0009,ar_0001,ar,مركبة,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0010,es_0001,es,vehículo,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0011,es_0010,es,requisito,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0012,es_0012,es,anexo,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0013,es_0013,es,párrafo,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0014,es_0014,es,deberá,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0015,id_0001,id,kendaraan,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0016,id_0009,id,persyaratan,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0017,id_0011,id,lampiran,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0018,id_0012,id,paragraf,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0019,id_0013,id,harus,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0020,it_0001,it,veicolo,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0021,it_0010,it,requisito,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0022,it_0012,it,allegato,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0023,it_0013,it,paragrafo,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0024,it_0014,it,deve,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0025,ms_0001,ms,kenderaan,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0026,ms_0009,ms,keperluan,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
